,Entity,Code,Year,Working hours (hours per person engaged),GDP per capita (int.-$) (constant 2011 international $),Unnamed: 5
8795,China,CHN,2007.0,2152.6538,7285.274415000001,1345993984.0
8796,China,CHN,2008.0,2131.5859,7947.787952,1353569024.0
8797,China,CHN,2009.0,2138.8472,8651.725901,1361169024.0
8798,China,CHN,2010.0,2172.7104,9525.818483,1368811008.0
8799,China,CHN,2011.0,2178.7708,10384.3666,1376498048.0
8800,China,CHN,2012.0,2184.2307,11145.75158,1384205952.0
8801,China,CHN,2013.0,2178.241,11951.247959999999,1391883008.0
8802,China,CHN,2014.0,2178.1633,12758.64779,1399453952.0
8803,China,CHN,2015.0,2174.3501,13569.89153,1406848000.0
8804,China,CHN,2016.0,2174.3501,14400.885059999999,1414049024.0
8805,China,CHN,2017.0,2174.3501,15308.712119999998,1421021952.0
8806,China,CHN,2018.0,0.0,0.0,1427648000.0
8807,China,CHN,2019.0,0.0,0.0,1433784064.0
27180,Mexico,MEX,1950.0,2431.7302,0.0,27945000.0
27181,Mexico,MEX,1951.0,2431.2783,0.0,28750000.0
27182,Mexico,MEX,1952.0,2430.8264,0.0,29590000.0
27183,Mexico,MEX,1953.0,2430.3748,0.0,30469000.0
27184,Mexico,MEX,1954.0,2429.9231,0.0,31389000.0
27185,Mexico,MEX,1955.0,2429.4714,0.0,32351000.0
27186,Mexico,MEX,1956.0,2429.0198,0.0,33355000.0
27187,Mexico,MEX,1957.0,2428.5684,0.0,34402000.0
27188,Mexico,MEX,1958.0,2428.1169,0.0,35488000.0
27189,Mexico,MEX,1959.0,2427.6658,0.0,36612000.0
27190,Mexico,MEX,1960.0,2427.2146,0.0,37772000.0
27191,Mexico,MEX,1961.0,2417.5605,0.0,38966000.0
27192,Mexico,MEX,1962.0,2407.9448,0.0,40195000.0
27193,Mexico,MEX,1963.0,2398.3674,0.0,41462000.0
27194,Mexico,MEX,1964.0,2388.8281,0.0,42771000.0
27195,Mexico,MEX,1965.0,2379.3269,0.0,44124000.0
27196,Mexico,MEX,1966.0,2369.8633,0.0,45520000.0
27197,Mexico,MEX,1967.0,2360.4373,0.0,46956000.0
27198,Mexico,MEX,1968.0,2351.0488,0.0,48432000.0
27199,Mexico,MEX,1969.0,2341.6978,0.0,49945000.0
27200,Mexico,MEX,1970.0,2332.3838,0.0,51494000.0
27201,Mexico,MEX,1971.0,2330.5007,0.0,53076000.0
27202,Mexico,MEX,1972.0,2328.6191,0.0,54690000.0
27203,Mexico,MEX,1973.0,2326.7393,0.0,56324000.0
27204,Mexico,MEX,1974.0,2325.123,0.0,57967000.0
27205,Mexico,MEX,1975.0,2323.5081,0.0,59608000.0
27206,Mexico,MEX,1976.0,2321.894,0.0,61242000.0
27207,Mexico,MEX,1977.0,2320.2815,0.0,62870000.0
27208,Mexico,MEX,1978.0,2318.6697,0.0,64495000.0
27209,Mexico,MEX,1979.0,2317.0593,0.0,66124000.0
27210,Mexico,MEX,1980.0,2315.4497,0.0,67761000.0
27211,Mexico,MEX,1981.0,2316.4517,0.0,69408000.0
27212,Mexico,MEX,1982.0,2317.4539,0.0,71059000.0
27213,Mexico,MEX,1983.0,2318.4563,0.0,72709000.0
27214,Mexico,MEX,1984.0,2319.4595,0.0,74353000.0
27215,Mexico,MEX,1985.0,2320.4629,0.0,75983000.0
27216,Mexico,MEX,1986.0,2321.4668,0.0,77599000.0
27217,Mexico,MEX,1987.0,2322.4712,0.0,79200000.0
27218,Mexico,MEX,1988.0,2323.4761,0.0,80789000.0
27219,Mexico,MEX,1989.0,2324.4812,0.0,82369000.0
27220,Mexico,MEX,1990.0,2325.6104,13070.44455,83943000.0
27221,Mexico,MEX,1991.0,2319.2534,13354.21335,85513000.0
27222,Mexico,MEX,1992.0,2312.9143,13565.09607,87075000.0
27223,Mexico,MEX,1993.0,2306.5923,13839.92309,88625000.0
27224,Mexico,MEX,1994.0,2294.0,14248.747469999998,90156000.0
27225,Mexico,MEX,1995.0,2294.0,13111.47125,91663000.0
27226,Mexico,MEX,1996.0,2314.0,13759.33102,93147000.0
27227,Mexico,MEX,1997.0,2322.0,14460.480230000001,94611000.0
27228,Mexico,MEX,1998.0,2291.0,14970.268180000001,96056000.0
27229,Mexico,MEX,1999.0,2306.0,15155.63865,97485000.0
27230,Mexico,MEX,2000.0,2311.0,15682.81217,98900000.0
27231,Mexico,MEX,2001.0,2285.0,15415.20023,100298000.0
27232,Mexico,MEX,2002.0,2271.0,15218.793430000002,101685000.0
27233,Mexico,MEX,2003.0,2277.0,15251.140640000001,103081000.0
27234,Mexico,MEX,2004.0,2271.0,15648.342330000001,104515000.0
27235,Mexico,MEX,2005.0,2290.0,15791.537030000001,106005000.0
27236,Mexico,MEX,2006.0,2278.0,16258.54005,107560000.0
27237,Mexico,MEX,2007.0,2260.0,16371.75155,109171000.0
27238,Mexico,MEX,2008.0,2264.0,16293.0313,110815000.0
27239,Mexico,MEX,2009.0,2255.0,15185.537390000001,112464000.0
27240,Mexico,MEX,2010.0,2254.0,15715.97214,114093000.0
